	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
711	213,3	1,8613	36,633	
712	213,6	1,9085	36,651	
713	213,9	1,9569	36,663	
714	214,2	2,0066	36,666	
715	214,5	2,0576	36,663	
716	214,8	2,1099	36,652	
717	215,1	2,1638	36,634	
718	215,4	2,2191	36,609	
719	215,7	2,2762	36,576	
720	216,	2,3349	36,536	
721	216,3	2,3956	36,489	
722	216,6	2,4582	36,434	
723	216,9	2,5229	36,371	
724	217,2	2,5899	36,3	
725	217,5	2,6592	36,221	
726	217,8	2,7311	36,134	
727	218,1	2,8058	36,038	
728	218,4	2,8833	35,933	
729	218,7	2,964	35,818	
730	219,	3,0481	35,694	
731	219,3	3,1357	35,558	
732	219,6	3,2273	35,412	
733	219,9	3,323	35,253	
734	220,2	3,4233	35,082	
735	220,5	3,5284	34,898	
736	220,8	3,6389	34,699	
737	221,1	3,7551	34,485	
738	221,4	3,8775	34,254	
739	221,7	4,0068	34,005	
740	222,	4,1434	33,736	
741	222,3	4,2883	33,446	
742	222,6	4,442	33,132	
743	222,9	4,6057	32,794	
744	223,2	4,7801	32,426	
745	223,5	4,9666	32,028	
746	223,8	5,1664	31,595	
747	224,1	5,3811	31,124	
748	224,4	5,6123	30,61	
749	224,7	5,8622	30,048	
750	225,	6,133	29,431	
751	225,3	6,4274	28,752	
752	225,6	6,7488	28,002	
753	225,9	7,1007	27,171	
754	226,2	7,4877	26,247	
755	226,5	7,9149	25,214	
756	226,8	8,3886	24,053	
757	227,1	8,9163	22,743	
758	227,4	9,5066	21,254	
759	227,7	10,17	19,553	
760	228,	10,919	17,594	
761	228,3	11,767	15,324	
762	228,6	12,73	12,671	
763	228,9	13,825	9,5492	
764	229,2	15,064	5,8473	
765	229,5	16,455	1,4325	
766	229,8	17,984	-3,8487	
767	230,1	19,602	-10,154	
768	230,4	21,201	-17,605	
769	230,7	22,595	-26,214	
770	231,	23,54	-35,796	
771	231,3	23,818	-45,917	
772	231,6	23,353	-55,97	
773	231,9	22,262	-65,374	
774	232,2	20,781	-73,745	
775	232,5	19,145	-80,948	
776	232,8	17,524	-87,024	
777	233,1	16,01	-92,11	
778	233,4	14,643	-96,363	
779	233,7	13,429	-99,934	
